nama_produk,harga_produk,toko,kota,jumlah_penjualan,rating_produk
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,Rp41.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp18.000,AyundaSnack,Bandung,80+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp11.980,insanprimastore,Tangerang Selatan,30+ terjual,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,Jakarta Barat,40+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,Rp20.000,pelangi khatulistiwa 2,Surabaya,40+ terjual,4.9
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,Seblak putra bandung,Kab. Bandung,250+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp11.980,,,30+ terjual,
Kerupuk Joged Bawang Bibir Warna Warni mentah 500gr Seblak,Rp10.500,,,28 terjual,
Baso Aci Kriboow Special Wagyu Cincang Selera Martini,Rp26.970,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Keripik Singkong Keju Sari Roso,Rp26.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250+ terjual,4.8
Keripik Ubi Ungu Sari Roso,Rp26.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250+ terjual,5.0
Kerupuk rambak sapi,Rp15.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1rb+ terjual,4.9
Snack Mie Goreng Medan,Rp14.500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500+ terjual,4.8
pilus cikur / pilus seblak baso aci - 250gram,Rp12.000,yumnaa snack,Kab. Bekasi,30+ terjual,4.8
CIKEMAM- SEBLAK SEUHAH BANDUNG PEDAS HALAL,Rp14.900,CIKEMAM,Cimahi,70+ terjual,4.9
Seblak Ceker Cap Dua Putra,Rp8.000,Medina Snack Grosir,Kab. Sukabumi,100+ terjual,5.0
SEBLAK INSTAN special bumbu kencur rasa lezat,Rp5.999,aghniya,Tangerang Selatan,2rb+ terjual,4.8
GEPREK Baso Aci Geprek Seblak Geprek boci instant samiraos boci geprek,Rp15.750,Mas Shop Surabaya,Surabaya,250+ terjual,4.7
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,250+ terjual,5.0
